gene	geneCat	labelGene	lof_z	wlof
VAT1	Other gene (n = 17,031)		2.0078	0
HLA-DQB2	Other gene (n = 17,031)		1.9448	0
HHAT	Other gene (n = 17,031)		2.2585	0
LSM7	Other gene (n = 17,031)		1.8166	0
DUSP3	Other gene (n = 17,031)		1.8166	0
MLYCD	Other gene (n = 17,031)		2.0638	0
SNX3	Other gene (n = 17,031)		1.8646	0
ISYNA1	Other gene (n = 17,031)		2.1375	0
PDIA5	Other gene (n = 17,031)		2.3171	0
C15orf59	Other gene (n = 17,031)		1.9059	0
KIAA1524	Other gene (n = 17,031)		2.4429	0
NPY1R	Other gene (n = 17,031)		1.9439	0
RNF180	Other gene (n = 17,031)		2.1807	0
TEP1	Other gene (n = 17,031)		3.1769	0
KRT13	Other gene (n = 17,031)		2.0591	0
RTFDC1	Other gene (n = 17,031)		2.0603	0
QSOX2	Other gene (n = 17,031)		2.2379	0
DCTPP1	Other gene (n = 17,031)		1.815	0
CDC20	Other gene (n = 17,031)		2.2193	0
NEU1	Other gene (n = 17,031)		2.1094	0
ENAM	Other gene (n = 17,031)		2.41	0
LALBA	Other gene (n = 17,031)		1.8136	0
RAB40C	Other gene (n = 17,031)		1.9733	0
ABCA5	Other gene (n = 17,031)		2.7806	0
BOD1	Other gene (n = 17,031)		1.8624	0
PRDM5	Other gene (n = 17,031)		2.3232	0
ERCC6-PGBD3	Other gene (n = 17,031)		2.1704	0
ACCS	Other gene (n = 17,031)		2.1949	0
NARG2	Other gene (n = 17,031)		2.4353	0
CEP128	Other gene (n = 17,031)		2.6815	0
ZNF350	Other gene (n = 17,031)		2.0578	0
CARS2	Other gene (n = 17,031)		2.2288	0
GUCY1A3	Other gene (n = 17,031)		2.2456	0
PLAUR	Other gene (n = 17,031)		1.9972	0
TM7SF3	Other gene (n = 17,031)		2.2276	0
VEGFA	Other gene (n = 17,031)		2.1239	0
VPS41	Other gene (n = 17,031)		2.5488	0
C1orf43	Other gene (n = 17,031)		2.0258	0
GIN1	Other gene (n = 17,031)		2.125	0
MMP11	Other gene (n = 17,031)		2.1246	0
GDF10	Other gene (n = 17,031)		1.9981	0
MGAM	Other gene (n = 17,031)		2.9269	0
NUP43	Other gene (n = 17,031)		2.1248	0
TARS2	Other gene (n = 17,031)		2.3909	0
VSTM2L	Other gene (n = 17,031)		1.8569	0
FAM184B	Other gene (n = 17,031)		2.5049	0
ARMCX3	Other gene (n = 17,031)		1.8102	0
TARBP1	Other gene (n = 17,031)		2.6783	0
FBXO6	Other gene (n = 17,031)		1.9662	0
MPP2	Other gene (n = 17,031)		2.2042	0
EBI3	Other gene (n = 17,031)		1.8973	0
PI4K2A	Other gene (n = 17,031)		2.185	0
RFTN2	Other gene (n = 17,031)		2.1409	0
TMEM33	Other gene (n = 17,031)		1.9931	0
STXBP2	Other gene (n = 17,031)		2.2366	0
DERL1	Other gene (n = 17,031)		2.0727	0
CABLES2	Other gene (n = 17,031)		2.0695	0
FKTN	Other gene (n = 17,031)		2.1814	0
POR	Other gene (n = 17,031)		2.3069	0
FOXH1	Other gene (n = 17,031)		1.931	0
LARP7	Other gene (n = 17,031)		2.2193	0
PIK3IP1	Other gene (n = 17,031)		1.9635	0
C11orf68	Other gene (n = 17,031)		1.8539	0
SLC45A3	Other gene (n = 17,031)		1.991	0
TROAP	Other gene (n = 17,031)		2.3329	0
PRKAB1	Other gene (n = 17,031)		1.9902	0
UFL1	Other gene (n = 17,031)		2.3791	0
JAM3	Other gene (n = 17,031)		2.042	0
FAM104A	Other gene (n = 17,031)		1.8547	0
KRT6A	Other gene (n = 17,031)		2.092	0
CUTC	Other gene (n = 17,031)		2.0384	0
RP11-192H23.4	Other gene (n = 17,031)		2.0876	0
LIAS	Other gene (n = 17,031)		2.1084	0
KIAA0930	Other gene (n = 17,031)		2.0889	0
NIPAL3	Other gene (n = 17,031)		2.0876	0
FHL3	Other gene (n = 17,031)		2.0094	0
STRA8	Other gene (n = 17,031)		2.037	0
TMEM19	Other gene (n = 17,031)		1.9853	0
NR2C2AP	Other gene (n = 17,031)		1.8497	0
URB2	Other gene (n = 17,031)		2.5019	0
C9orf84	Other gene (n = 17,031)		2.6021	0
CCDC102A	Other gene (n = 17,031)		2.0797	0
SLC9B2	Other gene (n = 17,031)		2.124	0
PDXDC1	Other gene (n = 17,031)		2.3491	0
ETV4	Other gene (n = 17,031)		2.2162	0
FXYD1	Other gene (n = 17,031)		1.8489	0
ANKLE2	Other gene (n = 17,031)		2.2943	0
NUGGC	Other gene (n = 17,031)		2.3423	0
TADA2A	Other gene (n = 17,031)		2.2294	0
BTNL3	Other gene (n = 17,031)		2.0284	0
SMYD2	Other gene (n = 17,031)		2.1379	0
TTC6	Other gene (n = 17,031)		2.669	0
VPS72	Other gene (n = 17,031)		2.0541	0
PRRT4	Other gene (n = 17,031)		2.0282	0
TLR6	Other gene (n = 17,031)		2.0974	0
RGS9	Other gene (n = 17,031)		2.4109	0
MTL5	Other gene (n = 17,031)		2.0933	0
FRRS1	Other gene (n = 17,031)		2.2438	0
GTF2F2	Other gene (n = 17,031)		2.0509	0
DDB2	Other gene (n = 17,031)		2.1147	0
MECR	Other gene (n = 17,031)		2.0943	0
TNFRSF10B	Other gene (n = 17,031)		2.0483	0
IQGAP3	Other gene (n = 17,031)		2.8091	0
PTAFR	Other gene (n = 17,031)		1.8441	0
UBE2C	Other gene (n = 17,031)		1.8817	0
MFAP5	Other gene (n = 17,031)		1.9728	0
CCDC12	Other gene (n = 17,031)		1.913	0
CDHR2	Other gene (n = 17,031)		2.5335	0
CCSAP	Other gene (n = 17,031)		1.8808	0
FKBP10	Other gene (n = 17,031)		2.1255	0
TMEM249	Other gene (n = 17,031)		1.8787	0
PTCH2	Other gene (n = 17,031)		2.4341	0
CD101	Other gene (n = 17,031)		2.3545	0
WDR17	Other gene (n = 17,031)		2.6234	0
L3MBTL4	Other gene (n = 17,031)		2.2949	0
CA3	Other gene (n = 17,031)		1.9958	0
UNG	Other gene (n = 17,031)		1.9957	0
HHIPL1	Other gene (n = 17,031)		2.1232	0
CPLX3	Other gene (n = 17,031)		1.8379	0
KIAA1644	Other gene (n = 17,031)		1.9082	0
TMEM163	Other gene (n = 17,031)		1.9078	0
TPH2	Other gene (n = 17,031)		2.1593	0
KIF22	Other gene (n = 17,031)		2.2447	0
ARHGEF25	Other gene (n = 17,031)		2.2594	0
C4orf32	Other gene (n = 17,031)		1.7317	0
HIPK4	Other gene (n = 17,031)		2.0783	0
DCAF13	Other gene (n = 17,031)		2.2365	0
SMAD9	Other gene (n = 17,031)		2.0567	0
NUCB1	Other gene (n = 17,031)		2.1721	0
CCHCR1	Other gene (n = 17,031)		2.4294	0
FAM47E	Other gene (n = 17,031)		1.99	0
TTC21B	Other gene (n = 17,031)		2.6384	0
DDX56	Other gene (n = 17,031)		2.1745	0
MICA	Other gene (n = 17,031)		1.9643	0
GPN2	Other gene (n = 17,031)		1.9362	0
AK7	Other gene (n = 17,031)		2.3336	0
SCG2	Other gene (n = 17,031)		2.0734	0
GSTP1	Other gene (n = 17,031)		1.9333	0
MANEAL	Other gene (n = 17,031)		1.9615	0
C14orf1	Other gene (n = 17,031)		1.8349	0
PLAU	Other gene (n = 17,031)		2.1132	0
TMEM35	Other gene (n = 17,031)		1.731	0
CCDC104	Other gene (n = 17,031)		2.0749	0
WDR76	Other gene (n = 17,031)		2.2202	0
DNAJB1	Other gene (n = 17,031)		1.9039	0
ERO1LB	Other gene (n = 17,031)		2.2193	0
F13B	Other gene (n = 17,031)		2.2354	0
TCEA2	Other gene (n = 17,031)		2.0078	0
FERMT1	Other gene (n = 17,031)		2.276	0
IFT20	Other gene (n = 17,031)		1.8699	0
MALRD1	Other gene (n = 17,031)		2.5119	0
TRIM32	Other gene (n = 17,031)		1.9809	0
TWF1	Other gene (n = 17,031)		2.0677	0
ST8SIA5	Other gene (n = 17,031)		2.0042	0
SHMT2	Other gene (n = 17,031)		2.1572	0
CYGB	Other gene (n = 17,031)		1.867	0
PUS1	Other gene (n = 17,031)		1.9802	0
PROM2	Other gene (n = 17,031)		2.3625	0
ANKRD18A	Other gene (n = 17,031)		2.2502	0
NICN1	Other gene (n = 17,031)		1.8959	0
OSTF1	Other gene (n = 17,031)		1.9776	0
CCDC82	Other gene (n = 17,031)		2.1369	0
SLC43A3	Other gene (n = 17,031)		2.101	0
MYH6	Other gene (n = 17,031)		2.7165	0
STARD3NL	Other gene (n = 17,031)		1.9524	0
OCA2	Other gene (n = 17,031)		2.3191	0
MFSD11	Other gene (n = 17,031)		2.0813	0
ARHGAP28	Other gene (n = 17,031)		2.2033	0
LMOD2	Other gene (n = 17,031)		1.9953	0
SIRT7	Other gene (n = 17,031)		1.9983	0
SNX19	Other gene (n = 17,031)		2.2735	0
NOC3L	Other gene (n = 17,031)		2.3355	0
RAB27B	Other gene (n = 17,031)		1.8943	0
GCGR	Other gene (n = 17,031)		2.0982	0
LARS2	Other gene (n = 17,031)		2.3966	0
STK11IP	Other gene (n = 17,031)		2.4649	0
TBC1D31	Other gene (n = 17,031)		2.4651	0
ACACB	Other gene (n = 17,031)		2.928	0
GOLT1A	Other gene (n = 17,031)		1.8273	0
CRTAP	Other gene (n = 17,031)		1.9963	0
XDH	Other gene (n = 17,031)		2.5207	0
CYP26C1	Other gene (n = 17,031)		1.9722	0
HAVCR2	Other gene (n = 17,031)		1.8936	0
TBL2	Other gene (n = 17,031)		2.0162	0
TMEM45A	Other gene (n = 17,031)		1.9449	0
DDAH2	Other gene (n = 17,031)		1.92	0
IFT122	Other gene (n = 17,031)		2.5576	0
PCYT1A	Other gene (n = 17,031)		2.0556	0
DCAF12	Other gene (n = 17,031)		2.0933	0
SDHA	Other gene (n = 17,031)		2.2202	0
ZMYND10	Other gene (n = 17,031)		2.1247	0
RAX	Other gene (n = 17,031)		1.858	0
STK33	Other gene (n = 17,031)		2.0896	0
ARG2	Other gene (n = 17,031)		2.0106	0
ARHGAP18	Other gene (n = 17,031)		2.2597	0
FAM19A5	Other gene (n = 17,031)		1.7821	0
CCDC135	Other gene (n = 17,031)		2.3524	0
ZNF639	Other gene (n = 17,031)		1.9872	0
GPD2	Other gene (n = 17,031)		2.2261	0
PEX10	Other gene (n = 17,031)		1.9872	0
VPS37C	Other gene (n = 17,031)		1.8879	0
NDUFC2-KCTD14	Other gene (n = 17,031)		1.7241	0
GLB1	Other gene (n = 17,031)		2.197	0
PAM16	Other gene (n = 17,031)		1.8222	0
MRPL10	Other gene (n = 17,031)		1.857	0
SELE	Other gene (n = 17,031)		2.1963	0
VTI1A	Other gene (n = 17,031)		1.987	0
CD9	Other gene (n = 17,031)		1.9407	0
VIL1	Other gene (n = 17,031)		2.3158	0
ORC5	Other gene (n = 17,031)		2.0807	0
GPR4	Other gene (n = 17,031)		1.8537	0
CREBZF	Other gene (n = 17,031)		1.8544	0
PARK2	Other gene (n = 17,031)		2.1001	0
FAM117A	Other gene (n = 17,031)		2.0255	0
SPIRE2	Other gene (n = 17,031)		2.1782	0
SNAP29	Other gene (n = 17,031)		1.9127	0
STK36	Other gene (n = 17,031)		2.4766	0
CDS2	Other gene (n = 17,031)		2.0964	0
NSMCE2	Other gene (n = 17,031)		1.8833	0
DBP	Other gene (n = 17,031)		1.8181	0
RAD54B	Other gene (n = 17,031)		2.271	0
KIAA1875	Other gene (n = 17,031)		2.5024	0
AP1S1	Other gene (n = 17,031)		1.8524	0
CD163L1	Other gene (n = 17,031)		2.5478	0
LRRC55	Other gene (n = 17,031)		1.8823	0
ARL9	Other gene (n = 17,031)		1.7774	0
DLAT	Other gene (n = 17,031)		2.14	0
LRRC3B	Other gene (n = 17,031)		1.7758	0
PINLYP	Other gene (n = 17,031)		1.7208	0
SLC38A10	Other gene (n = 17,031)		2.1969	0
UBE2G2	Other gene (n = 17,031)		1.8497	0
CCDC174	Other gene (n = 17,031)		2.1253	0
FOXS1	Other gene (n = 17,031)		1.8166	0
PCOLCE	Other gene (n = 17,031)		2.0167	0
FAM134B	Other gene (n = 17,031)		2.0565	0
FZD10	Other gene (n = 17,031)		1.9763	0
FGF1	Other gene (n = 17,031)		1.7755	0
GALNT3	Other gene (n = 17,031)		2.1557	0
MDFIC	Other gene (n = 17,031)		1.8793	0
SH2D4B	Other gene (n = 17,031)		2.0554	0
NARS2	Other gene (n = 17,031)		2.1237	0
ENO1	Other gene (n = 17,031)		2.0334	0
ADAM15	Other gene (n = 17,031)		2.3452	0
RNF212	Other gene (n = 17,031)		1.9523	0
PROC	Other gene (n = 17,031)		2.033	0
GALT	Other gene (n = 17,031)		2.0696	0
FAM47E-STBD1	Other gene (n = 17,031)		1.9269	0
TUBA3C	Other gene (n = 17,031)		1.9259	0
FABP3	Other gene (n = 17,031)		1.7736	0
SCAMP4	Other gene (n = 17,031)		1.9254	0
MANEA	Other gene (n = 17,031)		1.9716	0
THAP7	Other gene (n = 17,031)		1.9027	0
HCRTR1	Other gene (n = 17,031)		1.9911	0
FAM20A	Other gene (n = 17,031)		2.1001	0
TBRG1	Other gene (n = 17,031)		1.9912	0
CARNS1	Other gene (n = 17,031)		2.0648	0
KLF10	Other gene (n = 17,031)		1.9262	0
PIGU	Other gene (n = 17,031)		2.0306	0
GFI1B	Other gene (n = 17,031)		1.9721	0
MCIDAS	Other gene (n = 17,031)		1.9017	0
IFT52	Other gene (n = 17,031)		2.062	0
ITGAD	Other gene (n = 17,031)		2.4354	0
TCIRG1	Other gene (n = 17,031)		2.2632	0
OR52I2	Other gene (n = 17,031)		1.7723	0
ZSCAN12	Other gene (n = 17,031)		2.0939	0
N4BP3	Other gene (n = 17,031)		2.0072	0
EFCAB4B	Other gene (n = 17,031)		2.2207	0
BTBD9	Other gene (n = 17,031)		2.1393	0
RNF133	Other gene (n = 17,031)		1.8734	0
PDE6C	Other gene (n = 17,031)		2.3321	0
ADCYAP1R1	Other gene (n = 17,031)		2.167	0
DNAJC9	Other gene (n = 17,031)		1.921	0
HTR2C	Other gene (n = 17,031)		1.8711	0
PIGH	Other gene (n = 17,031)		1.8086	0
ATP5F1	Other gene (n = 17,031)		1.9419	0
TADA3	Other gene (n = 17,031)		2.0033	0
ANKRD55	Other gene (n = 17,031)		2.1057	0
TRIM14	Other gene (n = 17,031)		1.9206	0
C3orf58	Other gene (n = 17,031)		1.9643	0
CATSPERB	Other gene (n = 17,031)		2.3562	0
ZNF471	Other gene (n = 17,031)		2.0398	0
CMTM4	Other gene (n = 17,031)		1.8084	0
ZNF7	Other gene (n = 17,031)		2.0918	0
HIRIP3	Other gene (n = 17,031)		2.0558	0
BUD31	Other gene (n = 17,031)		1.8098	0
RAB11FIP1	Other gene (n = 17,031)		2.1935	0
TMEM150C	Other gene (n = 17,031)		1.8962	0
SYNC	Other gene (n = 17,031)		2.0214	0
GPR139	Other gene (n = 17,031)		1.8694	0
ALAD	Other gene (n = 17,031)		2.001	0
FGFR4	Other gene (n = 17,031)		2.2353	0
SLC30A6	Other gene (n = 17,031)		2.1316	0
PLA2R1	Other gene (n = 17,031)		2.5713	0
THEMIS	Other gene (n = 17,031)		2.052	0
NXPH4	Other gene (n = 17,031)		1.8063	0
MDK	Other gene (n = 17,031)		1.8065	0
POLR3B	Other gene (n = 17,031)		2.4566	0
GPR20	Other gene (n = 17,031)		1.7683	0
LPIN3	Other gene (n = 17,031)		2.2449	0
LTV1	Other gene (n = 17,031)		2.0963	0
LPAR2	Other gene (n = 17,031)		1.8659	0
SLC2A12	Other gene (n = 17,031)		1.996	0
DDX55	Other gene (n = 17,031)		2.11	0
SLC24A4	Other gene (n = 17,031)		2.1891	0
ACOX2	Other gene (n = 17,031)		2.1632	0
MRPS27	Other gene (n = 17,031)		2.0445	0
TTLL1	Other gene (n = 17,031)		2.0282	0
LSR	Other gene (n = 17,031)		2.093	0
TMEM240	Other gene (n = 17,031)		1.8034	0
TRAF3IP3	Other gene (n = 17,031)		2.2118	0
ARHGDIA	Other gene (n = 17,031)		1.8625	0
NEUROD4	Other gene (n = 17,031)		1.8351	0
LCMT1	Other gene (n = 17,031)		2.0066	0
ZNF91	Other gene (n = 17,031)		1.764	0
ELN	Other gene (n = 17,031)		2.2569	0
STK3	Other gene (n = 17,031)		2.0591	0
IFRG15	Other gene (n = 17,031)		1.7635	0
MARS2	Other gene (n = 17,031)		1.9884	0
ZNF699	Other gene (n = 17,031)		2.0188	0
ENTPD7	Other gene (n = 17,031)		2.1779	0
COL23A1	Other gene (n = 17,031)		2.212	0
FBF1	Other gene (n = 17,031)		2.3744	0
SLX4	Other gene (n = 17,031)		2.4119	0
TIMM8A	Other gene (n = 17,031)		1.7113	0
SLC35D3	Other gene (n = 17,031)		1.8575	0
CH25H	Other gene (n = 17,031)		1.7976	0
TJAP1	Other gene (n = 17,031)		2.0012	0
PDLIM1	Other gene (n = 17,031)		1.9248	0
ZIC4	Other gene (n = 17,031)		1.946	0
CASP7	Other gene (n = 17,031)		1.9816	0
DHPS	Other gene (n = 17,031)		1.9643	0
DLL3	Other gene (n = 17,031)		1.9815	0
SLC35C2	Other gene (n = 17,031)		1.9243	0
DPM1	Other gene (n = 17,031)		1.9625	0
RAD50	Other gene (n = 17,031)		2.4845	0
HGFAC	Other gene (n = 17,031)		2.0889	0
TRIM59	Other gene (n = 17,031)		1.9205	0
LEPROT	Other gene (n = 17,031)		1.76	0
OR10A7	Other gene (n = 17,031)		1.7599	0
VSX1	Other gene (n = 17,031)		1.8543	0
MRPL48	Other gene (n = 17,031)		1.9007	0
PYGM	Other gene (n = 17,031)		2.2154	0
CCDC47	Other gene (n = 17,031)		2.0714	0
OTOF	Other gene (n = 17,031)		2.6299	0
MATN2	Other gene (n = 17,031)		2.2207	0
CEBPG	Other gene (n = 17,031)		1.7584	0
NPY2R	Other gene (n = 17,031)		1.8495	0
PARD6G	Other gene (n = 17,031)		1.8228	0
HS3ST6	Other gene (n = 17,031)		1.7562	0
SUCLG1	Other gene (n = 17,031)		1.9363	0
TRNT1	Other gene (n = 17,031)		1.9533	0
TRAFD1	Other gene (n = 17,031)		2.0813	0
POLR2F	Other gene (n = 17,031)		1.8738	0
KCTD15	Other gene (n = 17,031)		1.8493	0
HLCS	Other gene (n = 17,031)		2.0776	0
KBTBD3	Other gene (n = 17,031)		2.0051	0
PLD1	Other gene (n = 17,031)		2.358	0
PCDHA1	Other gene (n = 17,031)		2.0636	0
KRI1	Other gene (n = 17,031)		2.2385	0
NDP	Other gene (n = 17,031)		1.7072	0
RPGRIP1	Other gene (n = 17,031)		2.3993	0
POLR3A	Other gene (n = 17,031)		2.4022	0
NMNAT1	Other gene (n = 17,031)		1.8469	0
CYP19A1	Other gene (n = 17,031)		1.9868	0
LRRC45	Other gene (n = 17,031)		2.1524	0
PRDX3	Other gene (n = 17,031)		1.8908	0
FOCAD	Other gene (n = 17,031)		2.5893	0
PTGES3L-AARSD1	Other gene (n = 17,031)		2.1024	0
ZFP3	Other gene (n = 17,031)		1.912	0
LAPTM4A	Other gene (n = 17,031)		1.891	0
FBXO7	Other gene (n = 17,031)		2.0332	0
LRRC10	Other gene (n = 17,031)		1.7532	0
CARD8	Other gene (n = 17,031)		2.0128	0
HSDL2	Other gene (n = 17,031)		1.9644	0
ZNF436	Other gene (n = 17,031)		1.9635	0
OBSL1	Other gene (n = 17,031)		2.4208	0
C8orf88	Other gene (n = 17,031)		1.754	0
GRPR	Other gene (n = 17,031)		1.7888	0
PCGF6	Other gene (n = 17,031)		1.9656	0
GPRC5C	Other gene (n = 17,031)		1.9293	0
SLC37A4	Other gene (n = 17,031)		1.9803	0
HFE2	Other gene (n = 17,031)		1.8901	0
NHLRC1	Other gene (n = 17,031)		1.8181	0
UBXN6	Other gene (n = 17,031)		1.9991	0
AGK	Other gene (n = 17,031)		2.0836	0
COLGALT1	Other gene (n = 17,031)		2.0581	0
XPNPEP3	Other gene (n = 17,031)		2.0656	0
CPM	Other gene (n = 17,031)		1.9768	0
SKAP1	Other gene (n = 17,031)		2.0395	0
MOB1B	Other gene (n = 17,031)		1.8422	0
GABPB2	Other gene (n = 17,031)		1.9941	0
CR2	Other gene (n = 17,031)		2.2948	0
PCDHA5	Other gene (n = 17,031)		2.0539	0
CTSA	Other gene (n = 17,031)		2.078	0
SERPINB9	Other gene (n = 17,031)		1.8658	0
LRRC8E	Other gene (n = 17,031)		2.0072	0
SDR9C7	Other gene (n = 17,031)		1.8659	0
GCG	Other gene (n = 17,031)		1.8389	0
RNASEH2A	Other gene (n = 17,031)		1.8839	0
AIDA	Other gene (n = 17,031)		1.9421	0
CYB5B	Other gene (n = 17,031)		1.8133	0
C1orf228	Other gene (n = 17,031)		1.9738	0
LIMS2	Other gene (n = 17,031)		1.9575	0
TSC22D3	Other gene (n = 17,031)		1.7513	0
FBXL18	Other gene (n = 17,031)		1.9414	0
A1CF	Other gene (n = 17,031)		2.1019	0
SDR16C5	Other gene (n = 17,031)		1.8624	0
AQP1	Other gene (n = 17,031)		1.8121	0
CMTM6	Other gene (n = 17,031)		1.7492	0
ERRFI1	Other gene (n = 17,031)		1.8588	0
KIRREL2	Other gene (n = 17,031)		2.0954	0
STRIP2	Other gene (n = 17,031)		2.2123	0
MMAB	Other gene (n = 17,031)		1.8781	0
TSEN54	Other gene (n = 17,031)		2.0256	0
ELP2	Other gene (n = 17,031)		2.2974	0
SCRT1	Other gene (n = 17,031)		1.7817	0
PARS2	Other gene (n = 17,031)		1.8772	0
KRBOX4	Other gene (n = 17,031)		1.7006	0
SNF8	Other gene (n = 17,031)		1.9134	0
LRRD1	Other gene (n = 17,031)		1.9931	0
THSD1	Other gene (n = 17,031)		2.0361	0
CHDH	Other gene (n = 17,031)		1.9947	0
TTC21A	Other gene (n = 17,031)		2.3545	0
ITGAE	Other gene (n = 17,031)		2.2831	0
TTF2	Other gene (n = 17,031)		2.3215	0
DGCR2	Other gene (n = 17,031)		1.9752	0
KCTD19	Other gene (n = 17,031)		2.1907	0
RBP2	Other gene (n = 17,031)		1.7773	0
IYD	Other gene (n = 17,031)		1.872	0
CKS1B	Other gene (n = 17,031)		1.7453	0
DHFR	Other gene (n = 17,031)		1.831	0
DNASE2	Other gene (n = 17,031)		1.9085	0
SLC6A7	Other gene (n = 17,031)		2.081	0
HKDC1	Other gene (n = 17,031)		2.1792	0
NIPAL4	Other gene (n = 17,031)		1.8931	0
PPT1	Other gene (n = 17,031)		1.9417	0
FAM184A	Other gene (n = 17,031)		2.2996	0
TIE1	Other gene (n = 17,031)		2.2679	0
TANGO2	Other gene (n = 17,031)		1.9225	0
CYP2S1	Other gene (n = 17,031)		1.9375	0
TMEM98	Other gene (n = 17,031)		1.848	0
ERMP1	Other gene (n = 17,031)		2.1244	0
ZMYND15	Other gene (n = 17,031)		2.1176	0
AFAP1L1	Other gene (n = 17,031)		2.1553	0
COMMD1	Other gene (n = 17,031)		1.7747	0
HHATL	Other gene (n = 17,031)		2.0102	0
PEBP1	Other gene (n = 17,031)		1.8017	0
LRMP	Other gene (n = 17,031)		2.0733	0
GPR56	Other gene (n = 17,031)		2.0686	0
COQ2	Other gene (n = 17,031)		1.882	0
MAATS1	Other gene (n = 17,031)		2.1416	0
HERC6	Other gene (n = 17,031)		2.1598	0
LHCGR	Other gene (n = 17,031)		2.0195	0
CHMP3	Other gene (n = 17,031)		1.8632	0
CCDC85A	Other gene (n = 17,031)		1.9474	0
RHOG	Other gene (n = 17,031)		1.7407	0
PPIL4	Other gene (n = 17,031)		2.0557	0
RNF103-CHMP3	Other gene (n = 17,031)		1.8632	0
TMEM169	Other gene (n = 17,031)		1.8423	0
USH1C	Other gene (n = 17,031)		2.2217	0
DHX32	Other gene (n = 17,031)		2.0479	0
NT5DC1	Other gene (n = 17,031)		1.9889	0
SLC15A1	Other gene (n = 17,031)		2.1285	0
MEF2BNB-MEF2B	Other gene (n = 17,031)		1.8616	0
CHRDL2	Other gene (n = 17,031)		1.9738	0
PEAR1	Other gene (n = 17,031)		2.2571	0
NXT1	Other gene (n = 17,031)		1.6946	0
SCLT1	Other gene (n = 17,031)		2.1827	0
GEMIN7	Other gene (n = 17,031)		1.6937	0
ARMCX5	Other gene (n = 17,031)		1.8173	0
METTL13	Other gene (n = 17,031)		2.0431	0
RPIA	Other gene (n = 17,031)		1.9091	0
C5orf30	Other gene (n = 17,031)		1.7357	0
BPIFC	Other gene (n = 17,031)		1.9903	0
BBS5	Other gene (n = 17,031)		1.9508	0
ZNF74	Other gene (n = 17,031)		1.965	0
NSL1	Other gene (n = 17,031)		1.8549	0
GTF3C5	Other gene (n = 17,031)		2.0192	0
SPICE1	Other gene (n = 17,031)		2.1532	0
EID1	Other gene (n = 17,031)		1.7358	0
PCDHGA1	Other gene (n = 17,031)		1.9879	0
RPL36A	Other gene (n = 17,031)		1.7355	0
CYBRD1	Other gene (n = 17,031)		1.8345	0
PYGB	Other gene (n = 17,031)		2.1419	0
ATP5G1	Other gene (n = 17,031)		1.7344	0
TMEM210	Other gene (n = 17,031)		1.6916	0
PADI2	Other gene (n = 17,031)		2.0697	0
ZNF697	Other gene (n = 17,031)		1.8545	0
SH2B2	Other gene (n = 17,031)		1.9343	0
PFKFB1	Other gene (n = 17,031)		1.9698	0
FANCE	Other gene (n = 17,031)		1.9574	0
MRPS22	Other gene (n = 17,031)		1.9299	0
MDM1	Other gene (n = 17,031)		2.0833	0
KY	Other gene (n = 17,031)		2.0516	0
WDR27	Other gene (n = 17,031)		2.179	0
DDX19B	Other gene (n = 17,031)		1.9828	0
ENOX2	Other gene (n = 17,031)		1.9586	0
FAM71E2	Other gene (n = 17,031)		2.0319	0
MRPL47	Other gene (n = 17,031)		1.8845	0
UBA7	Other gene (n = 17,031)		2.1798	0
SLC25A43	Other gene (n = 17,031)		1.7883	0
PPP2R3B	Other gene (n = 17,031)		1.9942	0
AGBL2	Other gene (n = 17,031)		2.1569	0
POGLUT1	Other gene (n = 17,031)		2.0048	0
TTC9B	Other gene (n = 17,031)		1.7624	0
SAMM50	Other gene (n = 17,031)		2.0134	0
MARCH2	Other gene (n = 17,031)		1.81	0
ATF3	Other gene (n = 17,031)		1.7863	0
PANK3	Other gene (n = 17,031)		1.9113	0
KIAA1683	Other gene (n = 17,031)		2.0027	0
QRSL1	Other gene (n = 17,031)		1.9901	0
DNAJC27	Other gene (n = 17,031)		1.862	0
PAX4	Other gene (n = 17,031)		1.879	0
DUSP12	Other gene (n = 17,031)		1.8954	0
BEST4	Other gene (n = 17,031)		1.9388	0
PCCB	Other gene (n = 17,031)		1.9986	0
ATP6V1D	Other gene (n = 17,031)		1.9103	0
LSG1	Other gene (n = 17,031)		2.0724	0
CCDC41	Other gene (n = 17,031)		2.1154	0
ZNF32	Other gene (n = 17,031)		1.8038	0
KIF27	Other gene (n = 17,031)		2.2685	0
MYH13	Other gene (n = 17,031)		2.4512	0
PRKX	Other gene (n = 17,031)		1.804	0
ERCC4	Other gene (n = 17,031)		2.0736	0
FCN3	Other gene (n = 17,031)		1.839	0
NMU	Other gene (n = 17,031)		1.8714	0
RXFP1	Other gene (n = 17,031)		2.0761	0
SOX15	Other gene (n = 17,031)		1.757	0
C1QL4	Other gene (n = 17,031)		1.7283	0
ABCC3	Other gene (n = 17,031)		2.2856	0
LSP1	Other gene (n = 17,031)		1.9432	0
EPO	Other gene (n = 17,031)		1.8207	0
CD46	Other gene (n = 17,031)		1.9561	0
MFGE8	Other gene (n = 17,031)		1.9	0
TTC4	Other gene (n = 17,031)		1.925	0
GDAP2	Other gene (n = 17,031)		2.0072	0
IQCB1	Other gene (n = 17,031)		2.0698	0
TMPRSS13	Other gene (n = 17,031)		1.9861	0
LAP3	Other gene (n = 17,031)		1.9614	0
PLCD4	Other gene (n = 17,031)		2.0859	0
UPP2	Other gene (n = 17,031)		1.8545	0
